,f1-score,precision,recall,support
accuracy,0.8619528619528619,0.8619528619528619,0.8619528619528619,0.8619528619528619
c_clusters,0.8316831683168318,0.8571428571428571,0.8076923076923077,52.0
circle,1.0,1.0,1.0,45.0
clusters,0.8411214953271028,0.8181818181818182,0.8653846153846154,52.0
macro avg,0.8652622138843831,0.8673322360648911,0.8643720308636276,297.0
random,0.7999999999999999,0.8085106382978723,0.7916666666666666,48.0
sphere,0.7924528301886793,0.7636363636363637,0.8235294117647058,51.0
torus,0.9263157894736843,0.9565217391304348,0.8979591836734694,49.0
weighted avg,0.8625939748596558,0.8644458367610331,0.8619528619528619,297.0
