,f1-score,precision,recall,support
accuracy,0.898989898989899,0.898989898989899,0.898989898989899,0.898989898989899
c_clusters,0.9791666666666666,0.9591836734693877,1.0,47.0
circle,1.0,1.0,1.0,51.0
clusters,0.9821428571428572,1.0,0.9649122807017544,57.0
macro avg,0.8957738095238095,0.8993107390947922,0.8991930198124036,297.0
random,0.8333333333333333,0.813953488372093,0.8536585365853658,41.0
sphere,0.7599999999999999,0.6909090909090909,0.8444444444444444,45.0
torus,0.82,0.9318181818181818,0.7321428571428571,56.0
weighted avg,0.8999651274651272,0.9081698752493074,0.898989898989899,297.0
