,f1-score,precision,recall,support
accuracy,0.8451178451178452,0.8451178451178452,0.8451178451178452,0.8451178451178452
c_clusters,1.0,1.0,1.0,48.0
circle,1.0,1.0,1.0,45.0
clusters,1.0,1.0,1.0,51.0
macro avg,0.8388218029785453,0.8736145110839114,0.859139581041959,297.0
random,0.6861313868613138,0.5465116279069767,0.9215686274509803,51.0
sphere,0.37837837837837834,0.7368421052631579,0.2545454545454545,55.0
torus,0.968421052631579,0.9583333333333334,0.9787234042553191,47.0
weighted avg,0.8259909125064715,0.8668016009407279,0.8451178451178452,297.0
