,f1-score,precision,recall,support
accuracy,0.835016835016835,0.835016835016835,0.835016835016835,0.835016835016835
c_clusters,0.8367346938775511,0.7735849056603774,0.9111111111111111,45.0
circle,0.99009900990099,1.0,0.9803921568627451,51.0
clusters,0.8131868131868131,0.8809523809523809,0.7551020408163265,49.0
macro avg,0.8354744057704662,0.8378074964867418,0.836809168111689,297.0
random,0.7647058823529411,0.78,0.75,52.0
sphere,0.6990291262135924,0.6923076923076923,0.7058823529411765,51.0
torus,0.9090909090909091,0.9,0.9183673469387755,49.0
weighted avg,0.834865018317491,0.8382009418487406,0.835016835016835,297.0
