,f1-score,precision,recall,support
accuracy,0.8080808080808081,0.8080808080808081,0.8080808080808081,0.8080808080808081
c_clusters,0.746031746031746,0.6351351351351351,0.9038461538461539,52.0
circle,1.0,1.0,1.0,53.0
clusters,0.5294117647058824,0.782608695652174,0.4,45.0
macro avg,0.7927344986168515,0.8355553443469045,0.7978250056159943,297.0
random,0.8376068376068375,0.7205882352941176,1.0,49.0
sphere,0.8484848484848485,0.875,0.8235294117647058,51.0
torus,0.7948717948717948,1.0,0.6595744680851063,47.0
weighted avg,0.7989616729961353,0.8356169759622445,0.8080808080808081,297.0
