,f1-score,precision,recall,support
accuracy,0.7542087542087542,0.7542087542087542,0.7542087542087542,0.7542087542087542
c_clusters,0.822429906542056,0.7719298245614035,0.88,50.0
circle,0.9908256880733944,1.0,0.9818181818181818,55.0
clusters,0.7692307692307692,0.8333333333333334,0.7142857142857143,42.0
macro avg,0.7430488111036325,0.7630973986690864,0.748816897388326,297.0
random,0.4615384615384615,0.6206896551724138,0.3673469387755102,49.0
sphere,0.672,0.5526315789473685,0.8571428571428571,49.0
torus,0.7422680412371134,0.8,0.6923076923076923,52.0
weighted avg,0.7476967112408966,0.7666304097641061,0.7542087542087542,297.0
