,f1-score,precision,recall,support
accuracy,0.8855218855218855,0.8855218855218855,0.8855218855218855,0.8855218855218855
c_clusters,1.0,1.0,1.0,58.0
circle,1.0,1.0,1.0,57.0
clusters,1.0,1.0,1.0,40.0
macro avg,0.8834937424560065,0.884946677604594,0.8823152912775555,297.0
random,0.6444444444444444,0.6304347826086957,0.6590909090909091,44.0
sphere,0.6792452830188679,0.6792452830188679,0.6792452830188679,53.0
torus,0.9772727272727273,1.0,0.9555555555555556,45.0
weighted avg,0.8866425194708022,0.8880105401844532,0.8855218855218855,297.0
