,f1-score,precision,recall,support
accuracy,0.9292929292929293,0.9292929292929293,0.9292929292929293,0.9292929292929293
c_clusters,0.9761904761904763,0.9534883720930233,1.0,41.0
circle,1.0,1.0,1.0,55.0
clusters,0.9807692307692307,1.0,0.9622641509433962,53.0
macro avg,0.928355085732027,0.9363937922527833,0.9252767415269495,297.0
random,0.8854961832061069,0.8169014084507042,0.9666666666666667,60.0
sphere,0.8045977011494252,0.875,0.7446808510638298,47.0
torus,0.923076923076923,0.972972972972973,0.8780487804878049,41.0
weighted avg,0.9286080658152257,0.9330774399149768,0.9292929292929293,297.0
