,f1-score,precision,recall,support
accuracy,0.898989898989899,0.898989898989899,0.898989898989899,0.898989898989899
c_clusters,1.0,1.0,1.0,54.0
circle,1.0,1.0,1.0,47.0
clusters,1.0,1.0,1.0,41.0
macro avg,0.8968419953190482,0.9077684253525972,0.9018003273322422,297.0
random,0.7387387387387387,0.640625,0.8723404255319149,47.0
sphere,0.6511627906976744,0.8235294117647058,0.5384615384615384,52.0
torus,0.9911504424778761,0.9824561403508771,1.0,56.0
weighted avg,0.8959111468544136,0.9089240682539187,0.898989898989899,297.0
