,f1-score,precision,recall,support
accuracy,0.8114478114478114,0.8114478114478114,0.8114478114478114,0.8114478114478114
c_clusters,1.0,1.0,1.0,53.0
circle,1.0,1.0,1.0,51.0
clusters,1.0,1.0,1.0,50.0
macro avg,0.7941405641265389,0.8062745098039216,0.7980091613812544,297.0
random,0.463768115942029,0.64,0.36363636363636365,44.0
sphere,0.6774193548387097,0.6176470588235294,0.75,56.0
torus,0.6236559139784946,0.58,0.6744186046511628,43.0
weighted avg,0.8052474251632737,0.8137651020003961,0.8114478114478114,297.0
