,f1-score,precision,recall,support
accuracy,0.8552188552188552,0.8552188552188552,0.8552188552188552,0.8552188552188552
c_clusters,0.9043478260869565,0.9122807017543859,0.896551724137931,58.0
circle,0.9803921568627451,1.0,0.9615384615384616,52.0
clusters,0.8737864077669903,0.8490566037735849,0.9,50.0
macro avg,0.8512128483621044,0.8513182349244804,0.852229625874946,297.0
random,0.7252747252747254,0.7021276595744681,0.75,44.0
sphere,0.702127659574468,0.7333333333333333,0.673469387755102,49.0
torus,0.9213483146067416,0.9111111111111111,0.9318181818181818,44.0
weighted avg,0.8551432846201656,0.8561648152657658,0.8552188552188552,297.0
