,f1-score,precision,recall,support
accuracy,0.9124579124579124,0.9124579124579124,0.9124579124579124,0.9124579124579124
c_clusters,1.0,1.0,1.0,48.0
circle,1.0,1.0,1.0,48.0
clusters,1.0,1.0,1.0,53.0
macro avg,0.9108477743798845,0.9124895572263995,0.9102675585284281,297.0
random,0.7706422018348624,0.7368421052631579,0.8076923076923077,52.0
sphere,0.7045454545454546,0.7380952380952381,0.6739130434782609,46.0
torus,0.98989898989899,1.0,0.98,50.0
weighted avg,0.9123819356883949,0.9133608431854044,0.9124579124579124,297.0
