,f1-score,precision,recall,support
accuracy,0.8686868686868687,0.8686868686868687,0.8686868686868687,0.8686868686868687
c_clusters,0.8793103448275862,0.8095238095238095,0.9622641509433962,53.0
circle,1.0,1.0,1.0,45.0
clusters,0.8409090909090908,0.9487179487179487,0.7551020408163265,49.0
macro avg,0.8672890784564307,0.8742368742368742,0.8667079975031456,297.0
random,0.8440366972477065,0.8214285714285714,0.8679245283018868,53.0
sphere,0.735632183908046,0.7619047619047619,0.7111111111111111,45.0
torus,0.9038461538461539,0.9038461538461539,0.9038461538461539,52.0
weighted avg,0.8674928853885455,0.8727722894389561,0.8686868686868687,297.0
