,f1-score,precision,recall,support
accuracy,0.7946127946127947,0.7946127946127947,0.7946127946127947,0.7946127946127947
c_clusters,0.9494949494949495,0.9038461538461539,1.0,47.0
circle,1.0,1.0,1.0,44.0
clusters,0.9494949494949495,1.0,0.9038461538461539,52.0
macro avg,0.775889837325953,0.8545431420431421,0.8138354700854701,297.0
random,0.21875,0.875,0.125,56.0
sphere,0.5942028985507246,0.45555555555555555,0.8541666666666666,48.0
torus,0.9433962264150945,0.8928571428571429,1.0,50.0
weighted avg,0.7607459611151162,0.8551861718528385,0.7946127946127947,297.0
