,f1-score,precision,recall,support
accuracy,0.7946127946127947,0.7946127946127947,0.7946127946127947,0.7946127946127947
c_clusters,0.7899159663865546,0.6811594202898551,0.94,50.0
circle,0.8958333333333333,0.8431372549019608,0.9555555555555556,45.0
clusters,0.6024096385542169,0.8620689655172413,0.46296296296296297,54.0
macro avg,0.7910070377671562,0.8072664838615143,0.8048312009654509,297.0
random,0.7722772277227722,0.7358490566037735,0.8125,48.0
sphere,0.7272727272727273,0.782608695652174,0.6792452830188679,53.0
torus,0.9583333333333333,0.9387755102040817,0.9787234042553191,47.0
weighted avg,0.7844944341551169,0.806304162253031,0.7946127946127947,297.0
