,f1-score,precision,recall,support
accuracy,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091
c_clusters,0.9887640449438202,1.0,0.9777777777777777,45.0
circle,1.0,1.0,1.0,58.0
clusters,0.9894736842105264,0.9791666666666666,1.0,47.0
macro avg,0.9050896853303002,0.9069431359643462,0.909012970632851,297.0
random,0.7608695652173912,0.6862745098039216,0.8536585365853658,41.0
sphere,0.7291666666666667,0.813953488372093,0.660377358490566,53.0
torus,0.9622641509433962,0.9622641509433962,0.9622641509433962,53.0
weighted avg,0.9085559955811886,0.9134600105017342,0.9090909090909091,297.0
