,f1-score,precision,recall,support
accuracy,0.6498316498316499,0.6498316498316499,0.6498316498316499,0.6498316498316499
c_clusters,0.8495575221238938,0.8135593220338984,0.8888888888888888,54.0
circle,0.9736842105263158,0.9487179487179487,1.0,37.0
clusters,0.8080808080808081,0.8695652173913043,0.7547169811320755,53.0
macro avg,0.6512262540307984,0.6753184192256726,0.6604747157105648,297.0
random,0.4626865671641791,0.36904761904761907,0.62,50.0
sphere,0.29411764705882354,0.5,0.20833333333333334,48.0
torus,0.5192307692307692,0.5510204081632653,0.4909090909090909,55.0
weighted avg,0.6415500758827327,0.6662633919713612,0.6498316498316499,297.0
