,f1-score,precision,recall,support
accuracy,0.8821548821548821,0.8821548821548821,0.8821548821548821,0.8821548821548821
c_clusters,0.9873417721518987,0.975,1.0,39.0
circle,1.0,1.0,1.0,49.0
clusters,0.9908256880733944,1.0,0.9818181818181818,55.0
macro avg,0.8829493466256522,0.8847986327607638,0.8838207336806777,297.0
random,0.6888888888888889,0.7560975609756098,0.6326530612244898,49.0
sphere,0.6851851851851852,0.6491228070175439,0.7254901960784313,51.0
torus,0.9454545454545454,0.9285714285714286,0.9629629629629629,54.0
weighted avg,0.8813343010522094,0.8832387231937938,0.8821548821548821,297.0
