,f1-score,precision,recall,support
accuracy,0.8316498316498316,0.8316498316498316,0.8316498316498316,0.8316498316498316
c_clusters,0.8478260869565217,0.8297872340425532,0.8666666666666667,45.0
circle,1.0,1.0,1.0,51.0
clusters,0.8541666666666667,0.8723404255319149,0.8367346938775511,49.0
macro avg,0.8333536434718446,0.8348169054855985,0.8332584315777593,297.0
random,0.7272727272727273,0.7659574468085106,0.6923076923076923,52.0
sphere,0.6728971962616823,0.6428571428571429,0.7058823529411765,51.0
torus,0.8979591836734694,0.8979591836734694,0.8979591836734694,49.0
weighted avg,0.8321288868930564,0.8340087808172915,0.8316498316498316,297.0
