,f1-score,precision,recall,support
accuracy,0.8653198653198653,0.8653198653198653,0.8653198653198653,0.8653198653198653
c_clusters,0.8659793814432989,0.8571428571428571,0.875,48.0
circle,0.9724770642201834,0.9636363636363636,0.9814814814814815,54.0
clusters,0.8260869565217391,0.8444444444444444,0.8085106382978723,47.0
macro avg,0.8616812285875283,0.8614533614533615,0.8628745036233564,297.0
random,0.7961165048543688,0.7884615384615384,0.803921568627451,51.0
sphere,0.7391304347826088,0.7727272727272727,0.7083333333333334,48.0
torus,0.9702970297029703,0.9423076923076923,1.0,49.0
weighted avg,0.8637428141625371,0.8631098792714955,0.8653198653198653,297.0
