,f1-score,precision,recall,support
accuracy,0.5824915824915825,0.5824915824915825,0.5824915824915825,0.5824915824915825
c_clusters,0.8392857142857143,0.7966101694915254,0.8867924528301887,53.0
circle,0.9772727272727273,1.0,0.9555555555555556,45.0
clusters,0.046511627906976744,0.5,0.024390243902439025,41.0
macro avg,0.5287820345676901,0.6602190671234591,0.5698517316590731,297.0
random,0.47787610619469023,0.46551724137931033,0.4909090909090909,55.0
sphere,0.5142857142857143,0.36585365853658536,0.8653846153846154,52.0
torus,0.31746031746031744,0.8333333333333334,0.19607843137254902,51.0
weighted avg,0.5373162003455991,0.656054469706449,0.5824915824915825,297.0
