,f1-score,precision,recall,support
accuracy,0.7542087542087542,0.7542087542087542,0.7542087542087542,0.7542087542087542
c_clusters,0.9607843137254902,0.98,0.9423076923076923,52.0
circle,1.0,1.0,1.0,51.0
clusters,0.9487179487179489,0.925,0.9736842105263158,38.0
macro avg,0.7603147365153151,0.7715310077519378,0.768122912299844,297.0
random,0.42222222222222217,0.5,0.36538461538461536,52.0
sphere,0.5901639344262295,0.48,0.7659574468085106,47.0
torus,0.6399999999999999,0.7441860465116279,0.5614035087719298,57.0
weighted avg,0.7514657469312993,0.767975099835565,0.7542087542087542,297.0
