,f1-score,precision,recall,support
accuracy,0.6632996632996633,0.6632996632996633,0.6632996632996633,0.6632996632996633
c_clusters,0.8387096774193549,0.7536231884057971,0.9454545454545454,55.0
circle,1.0,1.0,1.0,51.0
clusters,0.7777777777777778,0.9210526315789473,0.6730769230769231,52.0
macro avg,0.6380653695169825,0.6537358063454333,0.6475833445942142,297.0
random,0.48333333333333334,0.4027777777777778,0.6041666666666666,48.0
sphere,0.22857142857142854,0.3333333333333333,0.17391304347826086,46.0
torus,0.5,0.5116279069767442,0.4888888888888889,45.0
weighted avg,0.6524840485413962,0.6667809248654689,0.6632996632996633,297.0
