,f1-score,precision,recall,support
accuracy,0.8922558922558923,0.8922558922558923,0.8922558922558923,0.8922558922558923
c_clusters,1.0,1.0,1.0,57.0
circle,1.0,1.0,1.0,43.0
clusters,1.0,1.0,1.0,62.0
macro avg,0.8854869399757828,0.8860022148394243,0.8877673796791444,297.0
random,0.7021276595744682,0.7674418604651163,0.6470588235294118,51.0
sphere,0.6595744680851063,0.62,0.7045454545454546,44.0
torus,0.951219512195122,0.9285714285714286,0.975,40.0
weighted avg,0.8918470293664897,0.8941494681029566,0.8922558922558923,297.0
