,f1-score,precision,recall,support
accuracy,0.8720538720538721,0.8720538720538721,0.8720538720538721,0.8720538720538721
c_clusters,0.9600000000000001,1.0,0.9230769230769231,52.0
circle,1.0,1.0,1.0,43.0
clusters,0.9565217391304348,0.9166666666666666,1.0,44.0
macro avg,0.880727252229562,0.8818178806007873,0.88128379556951,297.0
random,0.7719298245614035,0.7457627118644068,0.8,55.0
sphere,0.6792452830188679,0.6923076923076923,0.6666666666666666,54.0
torus,0.9166666666666666,0.9361702127659575,0.8979591836734694,49.0
weighted avg,0.8722525549572453,0.8740984454411549,0.8720538720538721,297.0
