,f1-score,precision,recall,support
accuracy,0.8383838383838383,0.8383838383838383,0.8383838383838383,0.8383838383838383
c_clusters,1.0,1.0,1.0,58.0
circle,1.0,1.0,1.0,52.0
clusters,1.0,1.0,1.0,50.0
macro avg,0.8258394355136609,0.8304560718353823,0.8243661100803958,297.0
random,0.617283950617284,0.6756756756756757,0.5681818181818182,44.0
sphere,0.6168224299065421,0.5689655172413793,0.673469387755102,49.0
torus,0.7209302325581395,0.7380952380952381,0.7045454545454546,44.0
weighted avg,0.8387398085021522,0.8420378133021812,0.8383838383838383,297.0
