,f1-score,precision,recall,support
accuracy,0.7744107744107744,0.7744107744107744,0.7744107744107744,0.7744107744107744
c_clusters,0.7755102040816326,0.7916666666666666,0.76,50.0
circle,0.9629629629629629,0.9811320754716981,0.9454545454545454,55.0
clusters,0.6666666666666667,0.6341463414634146,0.7027027027027027,37.0
macro avg,0.7606285801916325,0.7672459700099131,0.7655016038327976,297.0
random,0.6597938144329897,0.8,0.5614035087719298,57.0
sphere,0.574468085106383,0.5094339622641509,0.6585365853658537,41.0
torus,0.9243697478991597,0.8870967741935484,0.9649122807017544,57.0
weighted avg,0.775271563555574,0.7880818878797493,0.7744107744107744,297.0
