,f1-score,precision,recall,support
accuracy,0.898989898989899,0.898989898989899,0.898989898989899,0.898989898989899
c_clusters,0.9672131147540983,1.0,0.9365079365079365,63.0
circle,1.0,1.0,1.0,44.0
clusters,0.9500000000000001,0.9047619047619048,1.0,38.0
macro avg,0.8997712093613733,0.9013064514343286,0.9034757578782736,297.0
random,0.7400000000000001,0.6727272727272727,0.8222222222222222,45.0
sphere,0.8080808080808081,0.8695652173913043,0.7547169811320755,53.0
torus,0.9333333333333333,0.9607843137254902,0.9074074074074074,54.0
weighted avg,0.9008845422821247,0.9078215121770884,0.898989898989899,297.0
