,f1-score,precision,recall,support
accuracy,0.8686868686868687,0.8686868686868687,0.8686868686868687,0.8686868686868687
c_clusters,1.0,1.0,1.0,45.0
circle,1.0,1.0,1.0,44.0
clusters,1.0,1.0,1.0,47.0
macro avg,0.8777829134264779,0.8773676615781879,0.8786216869550203,297.0
random,0.6930693069306932,0.7142857142857143,0.6730769230769231,52.0
sphere,0.6727272727272727,0.6727272727272727,0.6727272727272727,55.0
torus,0.9009009009009009,0.8771929824561403,0.9259259259259259,54.0
weighted avg,0.8676372141718677,0.8670413407255511,0.8686868686868687,297.0
