,f1-score,precision,recall,support
accuracy,0.835016835016835,0.835016835016835,0.835016835016835,0.835016835016835
c_clusters,0.6808510638297872,0.7619047619047619,0.6153846153846154,52.0
circle,1.0,1.0,1.0,53.0
clusters,0.7000000000000001,0.6363636363636364,0.7777777777777778,45.0
macro avg,0.8324040254399633,0.8355470748084156,0.8351228471021069,297.0
random,0.8823529411764707,0.8490566037735849,0.9183673469387755,49.0
sphere,0.8163265306122448,0.851063829787234,0.7843137254901961,51.0
torus,0.9148936170212766,0.9148936170212766,0.9148936170212766,47.0
weighted avg,0.8342498400606752,0.8392708422877638,0.835016835016835,297.0
