,f1-score,precision,recall,support
accuracy,0.8787878787878788,0.8787878787878788,0.8787878787878788,0.8787878787878788
c_clusters,0.9213483146067417,0.8913043478260869,0.9534883720930233,43.0
circle,0.975609756097561,0.9523809523809523,1.0,60.0
clusters,0.8979591836734695,0.9565217391304348,0.8461538461538461,52.0
macro avg,0.8727635410873537,0.8737164793453612,0.8737052132955704,297.0
random,0.7446808510638298,0.7291666666666666,0.7608695652173914,46.0
sphere,0.7173913043478262,0.7333333333333333,0.7021276595744681,47.0
torus,0.9795918367346939,0.9795918367346939,0.9795918367346939,49.0
weighted avg,0.8781856932600941,0.8795165248063799,0.8787878787878788,297.0
