,f1-score,precision,recall,support
accuracy,0.797979797979798,0.797979797979798,0.797979797979798,0.797979797979798
c_clusters,0.8000000000000002,0.8,0.8,45.0
circle,0.9824561403508771,0.9655172413793104,1.0,56.0
clusters,0.8200000000000001,0.8367346938775511,0.803921568627451,51.0
macro avg,0.7948716074373969,0.8054679151354027,0.7964027530204,297.0
random,0.7291666666666666,0.875,0.625,56.0
sphere,0.6153846153846153,0.5333333333333333,0.7272727272727273,44.0
torus,0.8222222222222222,0.8222222222222222,0.8222222222222222,45.0
weighted avg,0.8004976440064159,0.8155188605106504,0.797979797979798,297.0
