,f1-score,precision,recall,support
accuracy,0.9057239057239057,0.9057239057239057,0.9057239057239057,0.9057239057239057
c_clusters,1.0,1.0,1.0,55.0
circle,1.0,1.0,1.0,47.0
clusters,1.0,1.0,1.0,45.0
macro avg,0.9044249775381851,0.9055001978969438,0.9039698621765492,297.0
random,0.7499999999999999,0.7659574468085106,0.7346938775510204,49.0
sphere,0.7142857142857144,0.6862745098039216,0.7446808510638298,47.0
torus,0.9622641509433962,0.9807692307692307,0.9444444444444444,54.0
weighted avg,0.9066791000753266,0.9082436205923897,0.9057239057239057,297.0
