,f1-score,precision,recall,support
accuracy,0.9023569023569024,0.9023569023569024,0.9023569023569024,0.9023569023569024
c_clusters,0.9894736842105264,1.0,0.9791666666666666,48.0
circle,0.9906542056074767,1.0,0.9814814814814815,54.0
clusters,0.9896907216494846,0.9795918367346939,1.0,48.0
macro avg,0.8970253804207605,0.9084034858620815,0.8945224704400937,297.0
random,0.8412698412698413,0.7464788732394366,0.9636363636363636,55.0
sphere,0.72,0.7941176470588235,0.6585365853658537,41.0
torus,0.851063829787234,0.9302325581395349,0.7843137254901961,51.0
weighted avg,0.9013108254985672,0.9093516167877521,0.9023569023569024,297.0
