,f1-score,precision,recall,support
accuracy,0.6565656565656566,0.6565656565656566,0.6565656565656566,0.6565656565656566
c_clusters,0.7333333333333334,0.7021276595744681,0.7674418604651163,43.0
circle,0.989247311827957,0.9787234042553191,1.0,46.0
clusters,0.7126436781609194,0.7560975609756098,0.6739130434782609,46.0
macro avg,0.660637342759233,0.6610419353338535,0.6734401030381819,297.0
random,0.6129032258064517,0.5135135135135135,0.76,50.0
sphere,0.2553191489361702,0.3157894736842105,0.21428571428571427,56.0
torus,0.6603773584905661,0.7,0.625,56.0
weighted avg,0.6456043251819578,0.6483270705869236,0.6565656565656566,297.0
