,f1-score,precision,recall,support
accuracy,0.8922558922558923,0.8922558922558923,0.8922558922558923,0.8922558922558923
c_clusters,0.99009900990099,0.9803921568627451,1.0,50.0
circle,1.0,1.0,1.0,57.0
clusters,0.9873417721518987,1.0,0.975,40.0
macro avg,0.8873942063269739,0.8891562685680333,0.8879560610690297,297.0
random,0.7307692307692308,0.6909090909090909,0.7755102040816326,49.0
sphere,0.6436781609195402,0.7,0.5957446808510638,47.0
torus,0.9724770642201834,0.9636363636363636,0.9814814814814815,54.0
weighted avg,0.8908180091580001,0.891617902134836,0.8922558922558923,297.0
