,f1-score,precision,recall,support
accuracy,0.8821548821548821,0.8821548821548821,0.8821548821548821,0.8821548821548821
c_clusters,0.8925619834710744,0.9152542372881356,0.8709677419354839,62.0
circle,0.988235294117647,0.9767441860465116,1.0,42.0
clusters,0.8653846153846154,0.8490566037735849,0.8823529411764706,51.0
macro avg,0.8853064097716503,0.8839439537934011,0.8874582090900877,297.0
random,0.8,0.8260869565217391,0.7755102040816326,49.0
sphere,0.7878787878787878,0.78,0.7959183673469388,49.0
torus,0.9777777777777777,0.9565217391304348,1.0,44.0
weighted avg,0.8815071499698518,0.8816704468335861,0.8821548821548821,297.0
