,f1-score,precision,recall,support
accuracy,0.8922558922558923,0.8922558922558923,0.8922558922558923,0.8922558922558923
c_clusters,1.0,1.0,1.0,46.0
circle,1.0,1.0,1.0,48.0
clusters,1.0,1.0,1.0,57.0
macro avg,0.8857425680323955,0.8860360120158552,0.8868657937806873,297.0
random,0.7191011235955055,0.7619047619047619,0.6808510638297872,47.0
sphere,0.6595744680851063,0.6595744680851063,0.6595744680851063,47.0
torus,0.9357798165137614,0.8947368421052632,0.9807692307692307,52.0
weighted avg,0.8904319975343581,0.8900196619494866,0.8922558922558923,297.0
