,f1-score,precision,recall,support
accuracy,0.9158249158249159,0.9158249158249159,0.9158249158249159,0.9158249158249159
c_clusters,1.0,1.0,1.0,54.0
circle,1.0,1.0,1.0,53.0
clusters,1.0,1.0,1.0,52.0
macro avg,0.909962941541889,0.9115200922266139,0.9095544183295159,297.0
random,0.7789473684210526,0.8043478260869565,0.7551020408163265,49.0
sphere,0.7252747252747254,0.6875,0.7674418604651163,43.0
torus,0.9555555555555557,0.9772727272727273,0.9347826086956522,46.0
weighted avg,0.9168713461111123,0.9189565283932872,0.9158249158249159,297.0
