,f1-score,precision,recall,support
2,0.5674931129476584,0.43829787234042555,0.8046875,128.0
3.5,0.0,0.0,0.0,143.0
4.1,0.8634686346863468,0.8297872340425532,0.9,130.0
weighted avg,0.5563103062819554,0.5412107075993754,0.6121212121212121,660.0
accuracy,0.6121212121212121,0.6121212121212121,0.6121212121212121,0.6121212121212121
4.0,0.8326180257510729,1.0,0.7132352941176471,136.0
macro avg,0.5649740191931446,0.5466651496188418,0.6250479734576757,660.0
4.3,0.5612903225806452,0.46524064171123,0.7073170731707317,123.0
