,precision,recall,f1-score,support
2,1.0,0.47619047619047616,0.6451612903225806,126.0
3.5,0.0,0.0,0.0,137.0
4.0,0.2632612966601179,0.9925925925925926,0.4161490683229814,135.0
4.1,0.45454545454545453,0.07936507936507936,0.13513513513513514,126.0
4.3,0.07246376811594203,0.03676470588235294,0.04878048780487805,136.0
accuracy,0.31666666666666665,0.31666666666666665,0.31666666666666665,0.31666666666666665
macro avg,0.3580541038643029,0.3169825708061002,0.24904519631711503,660.0
weighted avg,0.34646677997819897,0.31666666666666665,0.24413881844354254,660.0
