,f1-score,precision,recall,support
macro avg,0.6218275225365794,0.5731795839888869,0.690253036437247,660.0
2,0.988235294117647,0.9921259842519685,0.984375,128.0
3.5,0.8745519713261648,0.8079470198675497,0.953125,128.0
4.1,0.0,0.0,0.0,141.0
4.0,0.6847457627118644,0.6121212121212121,0.7769230769230769,130.0
weighted avg,0.6093138316234403,0.5611025677206796,0.6772727272727272,660.0
accuracy,0.6772727272727272,0.6772727272727272,0.6772727272727272,0.6772727272727272
4.3,0.5616045845272206,0.4537037037037037,0.7368421052631579,133.0
