,precision,recall,f1-score,support
2,0.9375,0.9836065573770492,0.96,122.0
3.5,0.0,0.0,0.0,134.0
4.0,0.311614730878187,0.873015873015873,0.4592901878914405,126.0
4.1,0.475,0.12751677852348994,0.20105820105820105,149.0
4.3,0.5035971223021583,0.5426356589147286,0.5223880597014925,129.0
accuracy,0.48333333333333334,0.48333333333333334,0.48333333333333334,0.48333333333333334
macro avg,0.44554237063606905,0.5053549735662282,0.42854728973022677,660.0
weighted avg,0.43845073464792417,0.48333333333333334,0.41263075050528175,660.0
