,f1-score,precision,recall,support
weighted avg,0.2931908449877997,0.3345934204871444,0.38636363636363635,660.0
2,0.0,0.0,0.0,138.0
3.5,0.9296875,0.9083969465648855,0.952,125.0
4.1,0.49900990099009906,0.3324538258575198,1.0,126.0
accuracy,0.38636363636363635,0.38636363636363635,0.38636363636363635,0.38636363636363635
4.0,0.07692307692307693,0.5,0.041666666666666664,120.0
macro avg,0.30799694781631215,0.3553130116273382,0.4053558498896247,660.0
4.3,0.03436426116838488,0.03571428571428571,0.033112582781456956,151.0
