,precision,recall,f1-score,support
2,1.0,0.9915254237288136,0.9957446808510638,118.0
3.5,0.9310344827586207,0.9574468085106383,0.9440559440559441,141.0
4.0,0.9491525423728814,0.8549618320610687,0.8995983935742973,131.0
4.1,0.9121621621621622,1.0,0.9540636042402826,135.0
4.3,0.9772727272727273,0.9555555555555556,0.9662921348314608,135.0
accuracy,0.9515151515151515,0.9515151515151515,0.9515151515151515,0.9515151515151515
macro avg,0.9539243829132783,0.9518979239712152,0.9519509515106097,660.0
weighted avg,0.9525584169598834,0.9515151515151515,0.9510684466442909,660.0
