,precision,recall,f1-score,support
2,1.0,0.49624060150375937,0.6633165829145727,133.0
3.5,0.22529644268774704,1.0,0.36774193548387096,114.0
4.0,0.0,0.0,0.0,137.0
4.1,0.25,0.02857142857142857,0.05128205128205128,140.0
4.3,0.1111111111111111,0.058823529411764705,0.07692307692307691,136.0
accuracy,0.2909090909090909,0.2909090909090909,0.2909090909090909,0.2909090909090909
macro avg,0.3172815107597716,0.31672711189739056,0.23185272932071438,660.0
weighted avg,0.3163559175416883,0.2909090909090909,0.2239162300209471,660.0
