,precision,recall,f1-score,support
2,1.0,0.9838709677419355,0.991869918699187,124.0
3.5,0.7716535433070866,0.784,0.7777777777777778,125.0
4.0,0.6788321167883211,0.6690647482014388,0.6739130434782609,139.0
4.1,0.7246376811594203,0.6578947368421053,0.689655172413793,152.0
4.3,0.5735294117647058,0.65,0.609375,120.0
accuracy,0.7439393939393939,0.7439393939393939,0.7439393939393939,0.7439393939393939
macro avg,0.7497305506039067,0.748966090557096,0.7485181824738038,660.0
weighted avg,0.7481557789317561,0.7439393939393939,0.7452130172595398,660.0
