,precision,recall,f1-score,support
2,0.5,0.01694915254237288,0.03278688524590164,118.0
3.5,0.0,0.0,0.0,141.0
4.0,0.24394785847299813,1.0,0.39221556886227543,131.0
4.1,0.0,0.0,0.0,135.0
4.3,0.008403361344537815,0.007407407407407408,0.007874015748031496,135.0
accuracy,0.20303030303030303,0.20303030303030303,0.20303030303030303,0.20303030303030303
macro avg,0.1504702439635072,0.20487131198995603,0.08657529397124171,660.0
weighted avg,0.13953276248708388,0.20303030303030303,0.08532133955448293,660.0
